EndDate,Beta,IR,Sharpe
2017-07-03,1.1368906191417234,-0.2908677245629072,0.40154842765494697
2017-08-01,1.0322610618504515,-0.3629913343285491,-0.10214137697863854
2017-09-01,0.7776474774900435,-0.12483206799097137,1.6848907442809198
2017-10-02,0.8874899922622936,-0.045731803852467584,2.6446286741968295
2017-11-01,0.8917688878671665,0.8127611923878455,5.225607640756122
2017-12-01,0.8598948177524148,0.8300678707321962,5.230277131827064
2018-01-04,1.2160982939901008,0.2288335275823363,3.0935131356162175
2018-02-01,1.3180347223622286,0.03914955504463328,0.9718924404055914
2018-03-01,1.3396973018545353,-0.2276207074160072,-0.011935196949327043
2018-04-02,1.859844191218524,0.15647036242340479,0.304542916532385
2018-05-01,1.9588508000599134,-0.06408677447109162,-0.4171033595834179
2018-06-01,1.9316301913759584,-0.24337577673335928,-1.0969857718915574
2018-07-02,2.096139537421681,0.03715210275778346,-0.31797500662069383
2018-08-01,2.396864393897112,0.18225313799748866,0.2657865278817701
2018-09-03,1.8913557969360382,0.41083784205289436,1.3837303548985216
2018-10-01,1.2230733986008246,0.17957960271160575,-0.379969825447571
2018-11-01,1.0995665918338966,0.30477073063250165,0.1385494079902535
2018-12-03,1.166131332908556,0.20483742415263703,-0.7860190120639302
2019-01-04,1.252042983256379,0.28640535870951483,-0.26302742248237765
2019-02-01,1.2210964631076697,0.22230854213853066,-0.05554557140801541
2019-03-01,1.2093486004123648,0.10030982001467449,-0.4911238862705569
2019-04-01,1.277961592539565,0.26206584090074797,0.30607030484601166
2019-05-07,1.3517862853245368,0.2906882070961785,-0.2831819087506664
2019-06-03,1.4047043909756585,0.5366132053299075,1.3314201426432464
2019-07-01,1.255434244620444,0.14482976321115998,0.17677972739356917
2019-08-01,1.3938263008095824,-0.07312463255146603,-0.6731605692621675
2019-09-02,1.3544121556001534,0.03694168588526028,0.02115985978680856
2019-10-01,1.3492883526373978,-0.17321969836284035,0.05324621748967046
2019-11-01,1.5813896241653078,0.004162735276084517,1.3853026235923755
2019-12-02,1.5042447119092472,-0.09917900473095927,0.7552985664257094
2020-01-06,1.5794253287725053,-0.22236107469980543,0.36120741894057706
2020-02-03,1.0568343810612366,0.14891485413436234,0.1306793200804102
