Month,5th_Percentile,25th_Percentile,Median,75th_Percentile,95th_Percentile
0,0.926176852908759,0.977778188283634,1.01492833741444,1.0525209819903272,1.1056735991733586
1,0.9035683551367003,0.9752587502219792,1.0290742239310238,1.082281997353672,1.1656184733712458
2,0.8919230008551156,0.9795591014673419,1.043274542251441,1.112521363974229,1.2168336417587384
3,0.8835316813355998,0.9822902900101138,1.0578279052262891,1.1376091499227385,1.2587380082795125
4,0.876736727811679,0.9872525860663135,1.0721703282254844,1.16442875545987,1.3072394476438858
5,0.8725201553400135,0.9939002738388582,1.0870267440952714,1.1901231996984087,1.3482942491288417
6,0.8684486829348326,0.9996335574135506,1.1036840056516926,1.2167713720413196,1.387812557621026
7,0.8682264814277268,1.0070226142666239,1.1190944582082634,1.2415929477379566,1.4357179282392907
8,0.8622760022069175,1.015188443831207,1.1334344972344819,1.26553061678132,1.4748372115614072
9,0.860815682245591,1.0213862400065061,1.1482457118815823,1.289104809584622,1.5166151075742127
10,0.8570011093954033,1.0313310016498842,1.166143794281489,1.3131528521752318,1.56719680882472
11,0.8559578189889069,1.0387015762834273,1.1807578953815998,1.3405202868734396,1.6056192288619529
12,0.8583772649293572,1.0460701888402637,1.1967654585891667,1.366343393433008,1.6493802161958395
13,0.8577942823732965,1.0523713372225836,1.2115002969306854,1.3893237971629935,1.68619388371469
14,0.8636320411670101,1.0633619361746791,1.2288327416625593,1.418317626717896,1.736198614183747
15,0.8666492866740958,1.073862200259967,1.242317748315283,1.442752357624259,1.779845036353284
16,0.8641426541669199,1.0845575114661377,1.2583638517394622,1.4696509438789633,1.8221364616092974
17,0.8664076547074638,1.0963749074858833,1.273866830688636,1.4926061055396374,1.8647972091946827
18,0.8729736989477785,1.1045137181321842,1.2952052368597566,1.5211598640699906,1.9236714137890876
19,0.8743863961546607,1.1153630750460404,1.3124082707912446,1.5474760948179154,1.9631959837299293
20,0.8789437991893965,1.1241365145195679,1.3298515070574326,1.5741166764250507,2.016377482046037
21,0.8824986872379316,1.1379186317831875,1.3506022096981662,1.6017119075208122,2.0536661006135364
22,0.8832627030999415,1.1471070352075292,1.3702327046279663,1.6283105726145268,2.105538834723688
23,0.8883189011282632,1.1578789772563494,1.3882407495393125,1.653472595570931,2.1484825287697986
24,0.8869772548610991,1.1696598857707055,1.4082614139695209,1.6850640457081456,2.193500763356069
25,0.8936758587743058,1.1800676531983996,1.424846477630135,1.7157474585130086,2.247157889274142
26,0.891935392426904,1.1924793740805582,1.4430037155764808,1.7444422141276577,2.28871682523353
27,0.8938943217213307,1.2036497216797237,1.4657531533960022,1.7682748714143446,2.340531184835435
28,0.8990998783223485,1.2164020643099047,1.4877695367615091,1.8017374431565096,2.3968644902914
29,0.9074756119297079,1.227832778294826,1.508487855354667,1.8316719187833628,2.4340080903812287
30,0.9160340589753041,1.24106520821815,1.5311170317516263,1.8600206753003308,2.4852046367751486
31,0.9141745377525272,1.2553210909735966,1.551991031808069,1.893635837865507,2.5480161792083136
32,0.9237542500967417,1.2692651073238939,1.5771692992684094,1.9305488729058207,2.6099405039285357
33,0.9214452349920716,1.282664372496623,1.5957596048498828,1.9577649499614904,2.662382183515754
34,0.9338791003307186,1.2903353754268791,1.6154770951949198,1.9904918770475397,2.70275586151737
35,0.9396341424510688,1.3033474451585,1.6376725592276453,2.0260878311405564,2.7741842438564643
36,0.9367286110454104,1.3224280266831134,1.6544070863344653,2.060058933109505,2.8353149360437273
37,0.9462213078917876,1.332709571136034,1.6766461918530267,2.096453725117253,2.890681466695461
38,0.95369860784457,1.3473429184763777,1.6966120516591094,2.1278053867206577,2.9601415699898834
39,0.9644748047683347,1.362388410924881,1.7223324492708851,2.161220917995368,3.0254945829608184
40,0.9714067068172225,1.3745088019954717,1.7436079140424108,2.203586458117221,3.0845894328326007
41,0.975588085762689,1.3861904233712692,1.7669201601747,2.2473032728837676,3.141191748080422
42,0.9772417076993059,1.402914039662078,1.7880726661843505,2.2768824750855328,3.217777457551074
43,0.9900519200991913,1.4189293817106834,1.8108085894987407,2.305991623572098,3.297128761833688
44,0.9953266974468999,1.4347176891545663,1.8368069386013866,2.349897420491607,3.369885053353142
45,1.0070274971147617,1.4459556669521774,1.8655051653221102,2.3892667633030946,3.414479316354509
46,1.0121814260386695,1.4634088662279157,1.8911829442537322,2.4309423144090108,3.4934911957026986
47,1.0185608843069773,1.4765536418097975,1.9121887493868717,2.4661223053705177,3.5559698429135578
48,1.0237333956094135,1.4960644341125628,1.9383917967731037,2.5030254084920305,3.618530496055053
49,1.0286630113062472,1.511478322897001,1.963782472176439,2.5433438348112283,3.7067251886988926
50,1.0240707526447013,1.527140386074024,1.9798122520413892,2.591040731612204,3.787055873100903
51,1.0387749582916652,1.5463588784641047,2.01658928123109,2.632485948335469,3.8560895064923417
52,1.0455198625462014,1.5618200636105959,2.0421043363608136,2.6761057092162512,3.9126427623476516
53,1.052690520994759,1.5727457415189243,2.0699689501135685,2.72186622761351,4.005703050156054
54,1.0618130064211004,1.5967373558132938,2.0996070178969495,2.7575733146744814,4.046368437243402
55,1.0673904818277689,1.615163237183792,2.1233713258989013,2.8027426712403947,4.1375195395549
56,1.0849722733908798,1.6357618350533103,2.152810931032411,2.855609157373273,4.216795161586229
57,1.0900766090846494,1.650057229379434,2.189727743139418,2.896208368961287,4.31700150818309
58,1.0981855565291339,1.6689499414470275,2.2172824496827994,2.943588721945557,4.40723957491356
59,1.1140148622512331,1.6904676764544178,2.246242529449309,3.0031393911631277,4.490891842659224
