EndDate,Top,Mid-Small,Total Market Value,Total Market Growth
2017-07-03,0.3590200434099755,0.41898937988748647,0.8435211081989679,-0.34253956331773394
2017-08-01,0.46530533330239426,0.4163108115689005,0.8430374889445376,-0.22789234371243572
2017-09-01,0.5280583309856912,0.3428643400322815,0.8169023672046265,-0.2078791183844339
2017-10-02,0.683113361054107,0.5286268825485493,0.8666097422244833,0.1735616597178112
2017-11-01,0.9086542112636045,0.8864639921280032,0.9031501762196802,0.8439121312983625
2017-12-01,0.7879790596991266,0.8300226591820095,0.874844523857154,0.6812991408249326
2018-01-04,0.6611711350732221,0.8922673059271685,0.8773090452839154,0.5742911517124504
2018-02-01,0.8412582746831607,0.9640142492975198,0.9522073989733695,0.8184565931834816
2018-03-01,0.8579328260799072,0.967133874109744,0.9699758083232097,0.829807055727661
2018-04-02,0.892171769109615,0.9626466346477102,0.9853239206607323,0.7607456551420929
2018-05-01,0.8975798420161027,0.9612743404254187,0.9870219993712332,0.700671874038874
2018-06-01,0.9104913801034284,0.9501648589415003,0.9852820693156926,0.7149707593295073
2018-07-02,0.9884966864533409,0.9245425249678697,0.98441742526241,0.8542666773389338
2018-08-01,0.9838331799216817,0.899076520374807,0.9771126978892237,0.8423806341341515
2018-09-03,0.918761750006314,0.8343341785180229,0.9426083909584395,0.6899896458227489
2018-10-01,0.9391179640783108,0.857225779116024,0.9545096005513778,0.8070799035089087
2018-11-01,0.9611381123598941,0.8933627437168465,0.9566492025679546,0.8905156061278275
2018-12-03,0.9766463961149372,0.9298027323417515,0.9695536070376477,0.9342537305937128
2019-01-04,0.9800795717059296,0.9446304169092555,0.9779708523810973,0.94132470211186
2019-02-01,0.9783056879878652,0.9410871661538831,0.9786382747293045,0.928834855681506
2019-03-01,0.9767296277349014,0.9281769107185883,0.9903041937929554,0.9139905783441741
2019-04-01,0.9861645640193938,0.9456927923309674,0.998842983060026,0.935048085589124
2019-05-07,0.9904204217948402,0.9673161576899558,0.9951340578868472,0.9507147031392617
2019-06-03,0.9809058721050299,0.9320068654047933,0.9926496323987071,0.891437565642757
2019-07-01,0.9375250278760521,0.8857529276591269,0.9508538957203778,0.8590319310083702
2019-08-01,0.9475010175394598,0.8992660386679039,0.9554635439970616,0.8971233533339216
2019-09-02,0.9629053356102392,0.9275839463740361,0.9562585635238335,0.9273362333093739
2019-10-01,0.9589007489820741,0.9368286984891808,0.9630840501624651,0.9211752123186475
2019-11-01,0.9152539418064701,0.896517356791296,0.9223131521506202,0.871958135012985
2019-12-02,0.9388795054170551,0.9636960792586339,0.9570552592092527,0.9292148690943443
2020-01-06,0.9449019854608168,0.9813740350443848,0.9698126674954403,0.965064031984042
2020-02-03,0.9207517120859456,0.9600355544993234,0.9641887118108058,0.9126104336549504
2020-03-02,0.9276509556063411,0.879508097065299,0.9679475374041072,0.7859626359754515
2020-04-01,0.9295052783820915,0.8802839670834927,0.9592016108499133,0.8020703762819626
2020-05-01,0.9498909744769074,0.9107746471230237,0.9694813050810407,0.8595624279636426
2020-06-01,0.9333101837115743,0.9012490619999801,0.9658612340995258,0.8473340529561769
2020-07-01,0.9492398554959602,0.9030451383016724,0.9743731639983196,0.8530345663677357
2020-08-03,0.9788761673297431,0.9733377796951429,0.9877520564494227,0.9286404539642313
2020-09-01,0.9869346249772476,0.9196286853929995,0.9842472120452732,0.8660138080008639
2020-10-02,0.9658915748695627,0.8972727934970638,0.987045820428853,0.8127244217239737
2020-11-02,0.8596298449242358,0.8971544383890527,0.9846939050387641,0.7465570779383716
2020-12-01,0.8574974394530055,0.8843936482720285,0.9844630995145094,0.7183481488395214
2021-01-04,0.7511795860467747,0.7864432686098278,0.9525843486999614,0.5690292997069694
2021-02-01,0.7327740502118654,0.5677245860157266,0.9301752285536459,0.4076109106852563
2021-03-01,0.6947749470786979,0.8068729330688017,0.9413622977147678,0.5310807149609293
2021-04-01,0.7052541999150923,0.7889336573783079,0.9424476227517119,0.5089905165428101
2021-05-06,0.8535650059985821,0.7963488044501956,0.9372459035381542,0.6260944534086612
2021-06-01,0.9026080465933656,0.7359002071254473,0.9479367678762872,0.417440287986667
2021-07-01,0.9658673118947432,0.7949985937002324,0.9795403210018258,0.5906784534366837
2021-08-02,0.9324422039229735,0.9038169750188474,0.9761501152653674,0.6683891296862666
2021-09-01,0.9378007214088601,0.8292021136060103,0.9369380217168923,0.71952189770245
2021-10-01,0.9267499287765131,0.7654002447625721,0.908232626582403,0.6758472976239712
2021-11-01,0.853369126854926,0.966890517603198,0.9503804333211121,0.797366606898199
2021-12-01,0.8761214006075756,0.9846976416362859,0.9575778113323445,0.8136598329040896
2022-01-04,0.5217084264839242,0.741662366974924,0.9513326351501177,0.2577282807487695
2022-02-01,0.30983114074146656,0.719009527513316,0.8335195413239038,0.14009748746801787
2022-03-01,0.203631466696743,0.6699337124532786,0.7852316652271146,0.0695888027698875
2022-04-01,0.17346546789162204,0.6524010625567045,0.7558045441798394,0.06933545745010389
2022-05-02,0.07107568627392886,0.4784542006594558,-0.03065007063697287,0.3126615871651316
2022-06-01,0.2510650404673713,0.28166241837662515,0.1484793392405884,0.2987253929114136
2022-07-01,0.004983173532731076,0.024141452703080626,0.08102465839165772,-0.0223984995032583
2022-08-01,0.27133786099876434,0.08347719704249529,0.351840188064455,0.13182939205378866
2022-09-01,0.636572838341812,0.646095567284982,0.8499926409708762,0.4689063098444161
2022-10-03,0.8324930935490585,0.807513219200339,0.93660145880537,0.7018827502401203
2022-11-01,0.8430576401037535,0.824897005688464,0.9370403328545148,0.7171603906508346
2022-12-01,0.8743431946186009,0.8366941422373607,0.9444185588138961,0.7601923416046503
2023-01-04,0.9752433846123522,0.9410140207172476,0.9605476299297627,0.9628858964782653
2023-02-01,0.9840991593636964,0.9253501372681558,0.9375393059573147,0.9673309750598579
2023-03-01,0.9335382861306434,0.8381212938769004,0.8986606356923912,0.8272133889592401
2023-04-03,0.9028048167194567,0.8352020160939059,0.8463119181253519,0.7983337282645262
2023-05-01,0.7198234199123248,0.8023777420726546,0.7901623447860319,0.6716492686720517
2023-06-01,0.7661450677089078,0.948719236940149,0.8718732465151431,0.4607017238380442
2023-07-03,0.6434290671637436,0.9545943963461797,0.9401974703928845,0.2221037936516421
2023-08-01,0.4543289045494718,0.8612105028476538,0.8684845936705283,0.02154975052065603
2023-09-01,0.3556978866294189,0.5831146220490296,0.7957564261328053,0.028206098002333792
2023-10-02,0.5875598801587735,0.8037906092368707,0.8922701232505514,0.3223688149992737
2023-11-01,0.7901664494873027,0.8171710530524766,0.9696058162714687,0.47464414876394934
2023-12-01,0.4642262535797825,0.6188889648657824,0.9101441323363616,0.09088434783940916
2024-01-04,0.7443505577609735,0.7685505131148967,0.9472484621570599,0.4479663728175453
2024-02-01,0.8534844450282121,0.7397889883288199,0.9587777490081284,0.5293413298007453
2024-03-01,0.910511437733663,0.8261124496787552,0.9665982781947675,0.6904812436597908
2024-04-01,0.9270578278726561,0.8527223194821205,0.9627625392398519,0.7116375951358909
2024-05-01,0.8560313550541792,0.7765165100080474,0.8529148591650735,0.7683439833107019
2024-06-03,0.8282033500161938,0.7521080031200874,0.7360647125498756,0.839431894184754
2024-07-01,0.896169827190584,0.6113143294602917,0.7629064201277523,0.8259107046579389
2024-08-01,0.9212349324817712,0.6624762656262208,0.739019037362626,0.8006912310556397
2024-09-02,0.9143693460286408,0.38680507661069535,0.6285599676887907,0.7648496848113077
2024-10-01,0.7572710931637033,0.34803585091842915,0.5952071811191183,0.7610546602256122
2024-11-01,0.7130827275518236,0.15429948097147214,0.5290358272957639,0.5845863944254069
2024-12-02,0.7941474877352487,0.5099920353627352,0.7495459439404312,0.6560817558435068
2025-01-06,0.7897390563124638,0.6267086612674677,0.7872476818507246,0.6536768362442789
2025-02-03,0.47899244219972953,0.40466385223318546,0.608583092825136,0.34457514728003535
2025-03-03,0.33839186018685985,0.481342127143208,0.40931014920036046,0.3860208394349504
2025-04-01,0.2649288088905336,0.41410052348452364,0.6317781379409226,-0.039713972695728655
2025-05-01,0.47570677374761455,0.6861809548868826,0.7384797686429402,0.2948909222319465
2025-06-02,0.3634431921038883,0.6354918384734113,0.5233532375782942,0.32760242987916327
2025-07-01,0.4193808545556039,0.7139045490969131,0.6931199122998347,0.24546134986917972
2025-08-01,0.6308548725098992,0.9259180930546133,0.8866943187546655,0.0714499398027046
2025-09-01,0.46600375061060767,0.9136330994822843,0.8639259926346615,-0.3196383520051423
2025-10-01,-0.07091835435676175,0.7578923571988503,0.6749273013245822,-0.3317647902238914
2025-11-04,-0.04563323701238905,0.9403088637926905,0.7269856652342289,-0.26537955975677124
2025-12-01,0.04272573126545007,0.8853456313585972,0.8773639913188988,-0.04178037391452953
