Date,Code,CompanyName,SplitCount,CumulativeRatio,FirstSplitDate,LastSplitDate,DiscDate,OriginalBPS,AdjustedBPS,OriginalShOutFY,AdjustedShOutFY
2017-02-28,76110,ハイデイ日高,1,1.2,2017-02-24,2017-02-24,2016-12-26,849.9435447142804,708.2862872619004,24082776.0,28899331.2
2017-02-28,78180,トランザクション,1,2.0,2017-02-24,2017-02-24,2017-01-12,394.31330472103,197.156652360515,14166400.0,28332800.0
2017-03-31,14010,エムビーエス,1,10.0,2017-03-29,2017-03-29,2017-01-10,1993.127147766323,199.3127147766323,727500.0,7275000.0
2017-03-31,18280,田辺工業,1,2.0,2017-03-29,2017-03-29,2017-02-08,2287.2856077554065,1143.6428038777033,5364000.0,10728000.0
2017-03-31,24690,ヒビノ,1,2.0,2017-03-29,2017-03-29,2017-02-03,1643.1769386331666,821.5884693165833,5132740.0,10265480.0
2017-03-31,27820,セリア,1,2.0,2017-03-29,2017-03-29,2017-01-31,1236.629746835443,618.3148734177215,37920000.0,75840000.0
2017-03-31,29300,北の達人コーポレーション,1,2.0,2017-03-29,2017-03-29,2017-01-13,127.30061349693251,63.65030674846626,11084000.0,22168000.0
2017-03-31,30400,ソリトンシステムズ,1,2.0,2017-03-29,2017-03-29,2017-02-22,565.9893303006735,282.99466515033674,9869444.0,19738888.0
2017-03-31,31330,海帆,1,2.0,2017-02-24,2017-02-24,2017-02-10,480.0358905338717,240.01794526693584,1783200.0,3566400.0
2017-03-31,31860,ネクステージ,1,2.0,2017-03-29,2017-03-29,2017-01-10,529.6603993586941,264.83019967934706,10291500.0,20583000.0
2017-03-31,35380,ウイルプラスホールディングス,1,2.0,2017-03-29,2017-03-29,2017-02-10,1598.1735159817351,799.0867579908676,2382720.0,4765440.0
2017-03-31,35420,ベガコーポレーション,1,2.0,2017-03-29,2017-03-29,2017-01-31,617.6140106164517,308.8070053082258,5161800.0,10323600.0
2017-03-31,35560,リネットジャパングループ,1,5.0,2017-02-24,2017-02-24,2017-02-10,391.95342671047325,78.39068534209464,1734900.0,8674500.0
2017-03-31,36410,パピレス,1,2.0,2017-03-29,2017-03-29,2017-02-10,857.5678230017198,428.7839115008599,5163440.0,10326880.0
2017-03-31,36940,オプティム,1,2.0,2017-03-29,2017-03-29,2017-02-14,338.41074510392434,169.20537255196217,6663500.0,13327000.0
2017-03-31,37620,テクマトリックス,1,2.0,2017-02-24,2017-02-24,2017-01-31,360.18934375908754,180.09467187954377,12379600.0,24759200.0
2017-03-31,37930,ドリコム,1,2.0,2017-03-29,2017-03-29,2017-02-03,141.2847996547011,70.64239982735054,13901000.0,27802000.0
2017-03-31,39370,Ｕｂｉｃｏｍホールディングス,1,2.0,2017-03-29,2017-03-29,2017-02-09,406.7252989666783,203.36264948333914,2756160.0,5512320.0
2017-03-31,39630,シンクロ・フード,1,3.0,2017-03-29,2017-03-29,2017-02-09,587.9518072289156,195.98393574297188,2905000.0,8715000.0
2017-03-31,39650,キャピタル・アセット・プランニング,1,2.0,2017-03-29,2017-03-29,2017-02-10,958.3118530208963,479.1559265104481,1264724.0,2529448.0
2017-03-31,39680,セグエグループ,1,2.0,2017-03-29,2017-03-29,2017-02-13,1121.3461956915935,560.6730978457967,1378700.0,2757400.0
2017-03-31,43450,シーティーエス,1,2.0,2017-02-24,2017-02-24,2017-01-31,305.89285714285717,152.94642857142858,11200000.0,22400000.0
2017-03-31,46590,エイジス,1,2.0,2017-03-29,2017-03-29,2017-01-30,1954.2855020796196,977.1427510398098,5385600.0,10771200.0
2017-03-31,47620,エックスネット,1,2.0,2017-03-29,2017-03-29,2017-01-27,1408.9280526774476,704.4640263387238,4130800.0,8261600.0
2017-03-31,49180,アイビー化粧品,1,2.0,2017-03-29,2017-03-29,2017-02-09,1083.0721003134797,541.5360501567399,2552000.0,5104000.0
2017-03-31,49230,コタ,1,1.1,2017-03-29,2017-03-29,2017-01-31,452.15309681263636,411.0482698296694,15364265.0,16900691.5
2017-03-31,49270,ポーラ・オルビスホールディングス,1,4.0,2017-03-29,2017-03-29,2017-02-14,3244.603614629897,811.1509036574743,57284039.0,229136156.0
2017-03-31,49750,ＪＣＵ,1,2.0,2017-03-29,2017-03-29,2017-02-03,2307.081703237512,1153.540851618756,7054800.0,14109600.0
2017-03-31,59880,パイオラックス,1,3.0,2017-03-29,2017-03-29,2017-02-08,5673.8786521662705,1891.2928840554234,13084700.0,39254100.0
2017-03-31,60740,ジェイエスエス,1,2.0,2017-03-29,2017-03-29,2017-02-13,1083.3886369868185,541.6943184934092,2013128.0,4026256.0
2017-03-31,61940,アトラエ,1,3.0,2017-03-29,2017-03-29,2017-02-06,967.5179384306766,322.5059794768922,1296100.0,3888300.0
2017-03-31,61980,キャリア,1,2.0,2017-03-29,2017-03-29,2017-02-13,512.0930232558139,256.04651162790697,2150000.0,4300000.0
2017-03-31,61990,セラク,1,4.0,2017-02-24,2017-02-24,2017-01-10,529.9013654808803,132.47534137022006,3376100.0,13504400.0
2017-03-31,62380,フリュー,1,3.0,2017-02-24,2017-02-24,2017-02-13,1670.6955046649703,556.89850155499,9432000.0,28296000.0
2017-03-31,62770,ホソカワミクロン,1,0.2,2017-03-29,2017-03-29,2017-02-10,713.7559737830137,3568.779868915068,43076347.0,8615269.4
2017-03-31,63160,丸山製作所,1,0.1,2017-03-29,2017-03-29,2017-02-13,275.4043240089421,2754.043240089421,50293328.0,5029332.8
2017-03-31,63220,タクミナ,1,1.2,2017-03-29,2017-03-29,2017-02-06,842.1771770606091,701.8143142171742,6440450.0,7728540.0
2017-03-31,65370,ＷＡＳＨハウス,1,2.0,2017-03-29,2017-03-29,2017-02-10,634.232121922626,317.116060961313,3412000.0,6824000.0
2017-03-31,65860,マキタ,1,2.0,2017-03-29,2017-03-29,2017-01-31,3555.284683615511,1777.6423418077554,140008760.0,280017520.0
2017-03-31,69200,レーザーテック,1,2.0,2017-03-29,2017-03-29,2017-01-31,968.5384106297408,484.2692053148704,23571600.0,47143200.0
2017-03-31,76110,ハイデイ日高,1,1.2,2017-02-24,2017-02-24,2016-12-26,849.9435447142804,708.2862872619004,24082776.0,28899331.2
2017-03-31,77820,シンシア,1,3.0,2017-03-13,2017-03-13,2017-02-14,929.9123330426401,309.97077768088,2178700.0,6536100.0
2017-03-31,78180,トランザクション,1,2.0,2017-02-24,2017-02-24,2017-01-12,394.31330472103,197.156652360515,14166400.0,28332800.0
2017-03-31,78740,レック,1,2.0,2017-03-29,2017-03-29,2017-02-03,2530.253890047881,1265.1269450239406,9541335.0,19082670.0
2017-03-31,79060,ヨネックス,1,4.0,2017-03-29,2017-03-29,2017-02-06,1406.012339138311,351.50308478457777,23405200.0,93620800.0
2017-03-31,87690,アドバンテッジリスクマネジメント,1,2.0,2017-03-29,2017-03-29,2017-02-07,229.50282194796375,114.75141097398188,8540200.0,17080400.0
2017-03-31,88760,リログループ,1,10.0,2017-03-29,2017-03-29,2017-02-09,2494.194226655299,249.4194226655299,15295120.0,152951200.0
2017-03-31,94700,学研ホールディングス,1,0.1,2017-03-29,2017-03-29,2017-02-14,313.8222062054066,3138.222062054066,105958085.0,10595808.5
2017-03-31,95170,イーレックス,1,3.0,2017-03-02,2017-03-02,2017-02-14,961.5751221255808,320.52504070852694,16786000.0,50358000.0
2017-03-31,96160,共立メンテナンス,1,2.0,2017-03-29,2017-03-29,2017-02-09,3230.3972965007615,1615.1986482503808,19472837.0,38945674.0
2017-03-31,96790,ホウライ,1,0.1,2017-03-29,2017-03-29,2017-01-31,502.27920227920225,5022.792022792023,14040000.0,1404000.0
2017-03-31,99410,太洋物産,1,0.1,2017-03-29,2017-03-29,2017-02-10,5.420789949132662,54.207899491326614,13282197.0,1328219.7000000002
2017-03-31,99890,サンドラッグ,1,2.0,2017-03-29,2017-03-29,2017-02-09,1945.6241820960947,972.8120910480474,67165592.0,134331184.0
2017-04-28,18280,田辺工業,1,2.0,2017-03-29,2017-03-29,2017-02-08,2287.2856077554065,1143.6428038777033,5364000.0,10728000.0
2017-04-28,24690,ヒビノ,1,2.0,2017-03-29,2017-03-29,2017-02-03,1643.1769386331666,821.5884693165833,5132740.0,10265480.0
2017-04-28,27820,セリア,1,2.0,2017-03-29,2017-03-29,2017-01-31,1236.629746835443,618.3148734177215,37920000.0,75840000.0
2017-04-28,29230,サトウ食品,1,1.05,2017-04-26,2017-04-26,2017-03-10,2290.0206876169837,2180.972083444746,5075500.0,5329275.0
2017-04-28,30400,ソリトンシステムズ,1,2.0,2017-03-29,2017-03-29,2017-02-22,565.9893303006735,282.99466515033674,9869444.0,19738888.0
2017-04-28,31330,海帆,1,2.0,2017-02-24,2017-02-24,2017-02-10,480.0358905338717,240.01794526693584,1783200.0,3566400.0
2017-04-28,34750,グッドコムアセット,1,2.0,2017-04-26,2017-04-26,2017-03-09,1792.0148560817086,896.0074280408543,1507800.0,3015600.0
2017-04-28,35380,ウイルプラスホールディングス,1,2.0,2017-03-29,2017-03-29,2017-02-10,1598.1735159817351,799.0867579908676,2382720.0,4765440.0
2017-04-28,35560,リネットジャパングループ,1,5.0,2017-02-24,2017-02-24,2017-02-10,391.95342671047325,78.39068534209464,1734900.0,8674500.0
2017-04-28,36410,パピレス,1,2.0,2017-03-29,2017-03-29,2017-02-10,857.5678230017198,428.7839115008599,5163440.0,10326880.0
2017-04-28,36940,オプティム,1,2.0,2017-03-29,2017-03-29,2017-02-14,338.41074510392434,169.20537255196217,6663500.0,13327000.0
2017-04-28,37620,テクマトリックス,1,2.0,2017-02-24,2017-02-24,2017-01-31,360.18934375908754,180.09467187954377,12379600.0,24759200.0
2017-04-28,37930,ドリコム,1,2.0,2017-03-29,2017-03-29,2017-02-03,141.2847996547011,70.64239982735054,13901000.0,27802000.0
2017-04-28,39020,メディカル・データ・ビジョン,1,2.0,2017-04-26,2017-04-26,2017-02-13,280.79891239153903,140.39945619576952,10003600.0,20007200.0
2017-04-28,39170,アイリッジ,1,2.0,2017-04-26,2017-04-26,2017-03-10,342.8986560116237,171.44932800581185,2753000.0,5506000.0
2017-04-28,39370,Ｕｂｉｃｏｍホールディングス,1,2.0,2017-03-29,2017-03-29,2017-02-09,406.7252989666783,203.36264948333914,2756160.0,5512320.0
